レース場,レース回,枠番,登録番号,選手名,支部,級別,全国勝率,当地勝率,1着率,1着数,2着率,2着数,3着率,3着数,コース平均st,コース平均st順位,今節平均st,今節平均st順位,差し率,差し数,まくり率,まくり数,まくり差し率,まくり差し数,M指数,activepoint,FL,1-2率,1-3率,M総合評価,出足,伸び足,コースstトップ率,コースst最下位率,締切予定時刻,今節成績_1-1,今節成績_1-2,今節成績_2-1,今節成績_2-2,今節成績_3-1,今節成績_3-2,今節成績_4-1,今節成績_4-2,今節成績_5-1,今節成績_5-2,今節成績_6-1,今節成績_6-2,2着が1号艇,2着が2号艇,2着が3号艇,2着が4号艇,2着が5号艇,2着が6号艇,当該コース1着合計
芦屋,05R,5,4494.0,河合佑樹,静岡,A1,6.88,6.15,0.15,7,0.15,7,0.25,12,0.14,2.9,0.09,3.6,0.0,0,0.0,0,0.15,8.0,2.6,-,,0.487,0.231,D,2,3,0.24,0.02,12:38,,,,,,,,,,,,,2,2,2,4,-,0,10.0
芦屋,05R,6,4477.0,篠崎仁志,福岡,A1,7.51,6.65,0.06,3,0.19,9,0.28,13,0.15,3.6,0.12,3.2,0.02,1,0.0,0,0.0,0.0,3.3,C,,0.309,0.255,C,3,4,0.10,0.19,12:38,3,,4,3,3,,,,,,,,0,1,0,0,0,-,1.0
芦屋,06R,1,4290.0,稲田浩二,兵庫,A1,6.95,7.7,0.78,57,0.08,6,0.08,6,0.12,2.3,,,0.06,5,0.06,5,0.1,8.0,3.3,C,,0.286,0.286,B,4,4,0.51,0.09,13:10,3,,5,,1,3,,,,,,,-,16,16,16,6,4,58.0
芦屋,06R,2,4848.0,仲谷颯仁,福岡,A1,7.23,7.22,0.27,15,0.35,19,0.07,4,0.14,3.4,0.12,2.7,0.16,9,0.07,4,0.0,,2.6,-,,0.238,0.381,C,4,3,0.16,0.09,13:10,1,3,2,,5,,,,,,,,6,-,0,6,3,0,15.0
芦屋,06R,3,4262.0,馬場貴也,滋賀,A1,7.2,6.44,0.22,12,0.24,13,0.20,11,0.13,3.3,,,0.07,4,0.05,3,0.13,8.0,2.6,-,,0.327,0.204,C,4,3,0.10,0.13,13:10,5,2,2,,3,1,,,,,,,10,2,-,1,1,1,15.0
芦屋,06R,4,4337.0,平本真之,愛知,A1,7.64,7.63,0.13,7,0.29,16,0.18,10,0.12,2.5,0.1,3.2,0.02,1,0.08,4,0.04,2.0,2.0,-,,0.4,0.28,D,3,2,0.27,0.02,13:10,5,,1,6,6,,,,,,,,3,2,1,-,1,1,8.0
芦屋,06R,5,4544.0,松田大志郎,福岡,A1,7.75,7.96,0.24,12,0.33,17,0.22,11,0.18,3.8,,,0.02,1,0.07,4,0.1,6.0,3.6,B+,,0.321,0.346,B,4,4,0.10,0.17,13:10,,,,,,,,,,,,,8,2,2,1,-,0,13.0
芦屋,06R,6,4686.0,丸野一樹,滋賀,A1,6.82,5.58,0.04,2,0.12,6,0.18,9,0.14,3.5,0.11,3.0,0.0,0,0.0,0,0.02,1.0,3.0,B+,,0.36,0.32,B,4,4,0.25,0.16,13:10,5,3,3,,1,,,,,,,,1,1,0,0,0,-,2.0
芦屋,07R,1,4205.0,山口剛,広島,A1,7.81,7.0,0.75,47,0.14,9,0.05,3,0.11,2.9,0.12,2.7,0.06,4,0.09,6,0.08,5.0,3.2,A,,0.229,0.417,C,3,3,0.39,0.17,13:42,6,,1,3,6,,,,,,,,-,12,23,10,2,2,49.0
芦屋,07R,2,5267.0,石本裕武,大阪,A1,6.69,7.2,0.31,17,0.29,16,0.07,4,0.16,3.5,0.14,3.2,0.23,13,0.05,3,0.0,,2.4,C,隠F,0.235,0.314,C,3,3,0.13,0.07,13:42,6,,1,,6,2,,,,,,,10,-,2,1,3,1,17.0
芦屋,07R,3,3721.0,守田俊介,滋賀,A1,6.33,4.5,0.24,11,0.33,15,0.13,6,0.14,2.9,0.1,2.5,0.06,3,0.09,5,0.04,2.0,4.0,B+,,0.353,0.294,C,2,4,0.25,0.06,13:42,1,5,6,,6,,,,,,,,7,3,-,1,0,0,11.0
芦屋,07R,4,5217.0,藤原碧生,岡山,A1,6.82,7.04,0.27,13,0.27,13,0.19,9,0.14,2.8,0.11,3.0,0.0,0,0.18,8,0.02,1.0,3.0,-,,0.364,0.295,C,3,4,0.25,0.09,13:42,6,,6,,5,4,,,,,,,4,3,0,-,4,0,11.0
芦屋,07R,5,4444.0,桐生順平,埼玉,A1,7.07,6.74,0.12,6,0.30,15,0.14,7,0.16,3.7,0.14,4.2,0.02,1,0.0,0,0.12,6.0,3.0,-,隠F,0.333,0.314,C,4,3,0.08,0.06,13:42,,,,,,,,,,,,,5,0,0,1,-,1,7.0
芦屋,07R,6,3783.0,瓜生正義,福岡,A1,6.9,7.39,0.02,1,0.15,7,0.13,6,0.15,3.9,0.13,4.0,0.0,0,0.0,0,0.0,0.0,2.8,-,,0.387,0.355,C,3,4,0.22,0.22,13:42,5,6,3,,4,5,,,,,,,0,0,0,0,0,-,0.0
芦屋,08R,1,4953.0,尾上雅也,埼玉,A1,6.8,6.25,0.79,56,0.06,4,0.08,6,0.15,2.9,0.09,4.0,0.07,5,0.06,4,0.07,5.0,3.8,A,,0.389,0.204,B,4,4,0.34,0.10,14:15,6,,2,,6,2,,,,,,,-,22,12,9,8,6,57.0
芦屋,08R,2,3854.0,吉川元浩,兵庫,A1,6.76,0.0,0.17,8,0.39,18,0.11,5,0.14,3.0,0.12,3.5,0.08,4,0.06,3,0.0,,2.6,C,,0.341,0.171,D,2,3,0.19,0.10,14:15,4,,3,4,5,,,,,,,,3,-,2,1,1,0,7.0
芦屋,08R,3,3960.0,菊地孝平,静岡,A1,6.72,6.53,0.17,8,0.40,19,0.15,7,0.11,2.1,0.09,2.5,0.02,1,0.02,1,0.08,4.0,2.6,-,,0.453,0.34,B,4,4,0.37,0.02,14:15,6,,2,1,3,,,,,,,,3,3,-,1,1,0,8.0
芦屋,08R,4,4772.0,石丸海渡,香川,A1,6.4,7.57,0.22,10,0.24,11,0.27,12,0.10,2.0,0.1,3.2,0.02,1,0.16,7,0.07,3.0,3.4,C,隠F,0.432,0.227,B,4,4,0.44,0.00,14:15,1,,6,,2,3,,,,,,,2,4,2,-,1,2,11.0
芦屋,08R,5,3941.0,池田浩二,愛知,A1,8.15,8.06,0.11,5,0.17,8,0.38,18,0.13,3.2,0.09,1.8,0.0,0,0.0,0,0.06,3.0,2.0,A,,0.409,0.303,C,3,3,0.15,0.06,14:15,,,,,,,,,,,,,3,1,0,2,-,0,6.0
芦屋,08R,6,5121.0,定松勇樹,佐賀,A1,8.11,7.23,0.06,3,0.21,11,0.17,9,0.14,3.7,0.11,3.2,0.0,0,0.02,1,0.02,1.0,3.8,-,,0.34,0.24,C,3,4,0.20,0.27,14:15,2,,3,5,5,,,,,,,,0,2,0,1,0,-,3.0
芦屋,09R,1,4851.0,関浩哉,群馬,A1,7.66,5.33,0.70,39,0.16,9,0.07,4,0.14,2.7,0.15,2.7,0.03,2,0.16,9,0.09,5.0,3.0,B+,,0.553,0.158,C,4,3,0.40,0.14,14:50,3,3,4,,5,,,,,,,,-,22,6,11,1,0,40.0
芦屋,09R,2,3719.0,辻栄蔵,広島,A1,7.11,6.69,0.15,8,0.43,23,0.17,9,0.15,3.8,0.14,4.5,0.13,7,0.0,0,0.0,,3.7,B+,,0.415,0.366,C,3,4,0.08,0.11,14:50,2,5,2,,4,,,,,,,,5,-,1,1,2,0,9.0
芦屋,09R,3,4579.0,中嶋健一郎,三重,A1,6.21,6.04,0.21,12,0.18,10,0.35,20,0.16,3.1,0.17,4.7,0.0,0,0.03,2,0.15,9.0,2.7,C,,0.289,0.333,C,3,4,0.21,0.08,14:50,5,,1,,5,4,,,,,,,6,1,-,3,3,1,14.0
芦屋,09R,4,4914.0,吉田裕平,愛知,A1,7.19,8.13,0.16,9,0.29,17,0.17,10,0.12,2.6,0.07,2.0,0.02,1,0.1,6,0.05,3.0,3.5,B+,,0.413,0.261,B,4,4,0.31,0.07,14:50,3,2,6,,F,,,,,,,,2,2,2,-,5,0,11.0
芦屋,09R,5,4320.0,峰竜太,佐賀,A1,7.88,8.09,0.13,5,0.23,9,0.31,12,0.14,3.3,0.1,3.0,0.02,1,0.02,1,0.05,2.0,4.7,A,,0.286,0.327,S,5,5,0.20,0.10,14:50,,,,,,,,,,,,,2,0,0,1,-,1,4.0
芦屋,09R,6,4760.0,山崎郡,大阪,A1,7.35,4.78,0.07,4,0.20,11,0.13,7,0.13,3.5,0.15,4.0,0.0,0,0.02,1,0.05,2.0,3.3,B+,,0.409,0.258,C,4,3,0.16,0.16,14:50,5,,6,2,3,,,,,,,,2,0,1,0,0,-,3.0
