レース場,レース回,枠番,登録番号,選手名,支部,級別,全国勝率,当地勝率,1着率,1着数,2着率,2着数,3着率,3着数,コース平均st,コース平均st順位,今節平均st,今節平均st順位,差し率,差し数,まくり率,まくり数,まくり差し率,まくり差し数,M指数,activepoint,FL,1-2率,1-3率,M総合評価,出足,伸び足,コースstトップ率,コースst最下位率
児島,05R,3,4042,丸岡正典,大阪,A2,6.20,5.82,0.21,12,0.25,14,0.25,14,0.17,3.4,0.15,2.6,0.02,1,0.02,1,0.12,7,2.8,C,,,,B,4,4,0.13,0.11
児島,05R,4,5199,垂水悠,徳島,B1,5.23,3.94,0.14,5,0.06,2,0.19,7,0.14,2.1,0.10,3.3,0.00,0,0.15,5,0.00,0,3.2,S,,,,B,5,3,0.39,0.04
児島,05R,5,3539,金子順一,山口,B1,3.63,4.85,0.05,2,0.02,1,0.07,3,0.21,4.6,0.18,2.6,0.00,0,0.00,0,0.03,1,2.8,B+,,,,C,4,2,0.00,0.26
児島,05R,6,4189,川上剛,福岡,A2,6.78,6.11,0.13,7,0.15,8,0.24,13,0.19,4.0,0.12,3.0,0.00,0,0.00,0,0.00,0,4.2,C,,,,B,5,3,0.12,0.32
児島,06R,1,4433,川野芽唯,福岡,A1,6.54,0.00,0.78,65,0.10,8,0.02,2,0.16,3.6,0.16,3.7,0.06,5,0.11,9,0.05,4,2.6,-,,0.37,0.33,B,4,4,0.21,0.27
児島,06R,2,3997,北村征嗣,大阪,A1,6.52,6.88,0.27,17,0.27,17,0.17,11,0.16,3.3,0.17,5.3,0.21,13,0.03,2,0.00,,2.6,C,,,,C,4,3,0.17,0.13
児島,06R,3,3901,松田憲幸,山口,B1,3.69,4.30,0.09,3,0.06,2,0.26,9,0.19,4.2,0.23,4.6,0.00,0,0.09,3,0.00,0,2.6,B+,,,,D,2,2,0.03,0.21
児島,06R,4,5102,原田雄次,福岡,B1,4.56,3.64,0.02,1,0.13,6,0.15,7,0.22,4.0,0.18,4.0,0.00,0,0.02,1,0.00,0,2.8,-,F,,,B,4,4,0.05,0.22
児島,06R,5,3721,守田俊介,滋賀,A1,6.32,6.38,0.15,6,0.23,9,0.10,4,0.12,2.7,0.10,2.3,0.00,0,0.03,1,0.08,3,3.4,A,,,,B,5,3,0.35,0.07
児島,06R,6,5442,池田美優,広島,B2,1.18,1.67,0.00,0,0.00,0,0.00,0,0.20,3.4,0.16,3.3,0.00,0,0.00,0,0.00,0,4,A+,F,,,D,3,2,0.23,0.18
児島,07R,1,3470,新田芳美,徳島,B1,5.04,5.50,0.28,9,0.22,7,0.09,3,0.18,3.4,0.13,2.3,0.16,5,0.22,7,0.22,7,3.6,A,,,,A,4,5,0.16,0.04
児島,07R,2,4084,杉山正樹,愛知,A1,6.80,7.13,0.13,8,0.38,23,0.13,8,0.16,3.7,0.20,4.2,0.09,5,0.05,3,0.00,,2.8,B+,,,,C,4,3,0.07,0.16
児島,07R,3,5043,中村日向,香川,A1,6.27,6.62,0.28,16,0.18,10,0.23,13,0.13,2.4,0.14,2.0,0.02,1,0.11,6,0.15,8,3.4,B+,,,,S,6,5,0.43,0.05
児島,07R,4,4202,浮田圭浩,岡山,B1,4.46,4.62,0.00,0,0.13,6,0.13,6,0.19,4.0,0.18,2.6,0.00,0,0.00,0,0.00,0,3.2,A+,未消化F,,,B,4,4,0.05,0.22
児島,07R,5,4201,佐竹友樹,埼玉,B1,4.30,4.05,0.05,2,0.22,8,0.14,5,0.16,3.1,0.22,5.3,0.00,0,0.00,0,0.05,2,2.8,-,,,,C,3,3,0.17,0.07
児島,07R,6,3841,佐々木和伸,徳島,A2,5.77,5.00,0.00,0,0.08,4,0.30,16,0.18,4.3,0.24,3.6,0.00,0,0.00,0,0.00,0,3.6,-,,,,B,4,4,0.08,0.30
児島,08R,1,3482,金子猛志,群馬,A2,4.84,4.45,0.47,28,0.27,16,0.14,8,0.16,2.9,0.14,3.5,0.17,9,0.07,4,0.22,12,2.6,-,,,,C,3,3,0.26,0.10
児島,08R,2,3833,中辻博訓,福井,A1,6.02,6.75,0.25,13,0.38,20,0.13,7,0.14,2.5,0.10,2.0,0.16,8,0.10,5,0.00,,3,C,,,,C,3,3,0.26,0.00
児島,08R,3,4276,鈴木勝博,愛知,A2,5.55,6.21,0.30,13,0.18,8,0.20,9,0.15,2.6,0.09,2.0,0.02,1,0.17,8,0.06,3,3.2,B+,,,,C,3,4,0.28,0.08
児島,08R,4,5157,市川健太,滋賀,B1,4.63,4.89,0.10,4,0.07,3,0.21,9,0.16,3.3,0.21,4.3,0.00,0,0.09,3,0.00,0,3.2,C,F,,,C,3,3,0.20,0.13
児島,08R,5,5143,常盤海心,徳島,B1,4.59,3.43,0.00,0,0.13,7,0.21,12,0.17,3.9,0.18,3.0,0.00,0,0.00,0,0.00,0,2.8,A,,,,C,4,3,0.05,0.11
児島,08R,6,4958,溝口海義也,福岡,A2,6.40,6.43,0.02,1,0.04,2,0.23,13,0.15,4.1,0.16,1.6,0.00,0,0.00,0,0.00,0,3.8,B+,,,,B,4,4,0.13,0.28
児島,09R,1,4061,萩原秀人,福井,A1,6.83,6.86,0.74,57,0.14,11,0.05,4,0.14,2.4,0.12,3.0,0.04,3,0.10,8,0.10,8,3.4,B+,,0.33,0.24,A,5,5,0.41,0.10
児島,09R,2,4189,川上剛,福岡,A2,6.78,6.11,0.08,6,0.31,23,0.29,22,0.15,3.4,0.12,3.0,0.08,6,0.03,2,0.00,,4.2,C,,,,B,5,3,0.19,0.17
児島,09R,3,3411,池上隆行,広島,B1,3.81,2.96,0.04,2,0.11,5,0.13,6,0.17,3.0,0.15,4.0,0.02,1,0.00,0,0.00,0,2.6,C,,,,D,3,2,0.26,0.13
児島,09R,4,5249,三木晴斗,徳島,B1,5.32,3.24,0.02,1,0.27,14,0.15,8,0.16,2.9,0.13,3.0,0.00,0,0.00,0,0.00,0,3.8,A+,,,,C,3,3,0.22,0.08
児島,09R,5,3933,山地正樹,岡山,B1,4.88,5.67,0.20,9,0.22,10,0.11,5,0.24,0.0,0.13,3.0,0.00,0,0.00,0,0.00,0,3,B+,,,,C,4,2,0.00,0.00
児島,09R,6,4652,酒見峻介,佐賀,A2,4.68,5.14,0.06,3,0.08,4,0.13,7,0.19,4.0,0.17,2.0,0.00,0,0.04,2,0.00,0,2.8,B+,F,,,B,3,5,0.17,0.29
児島,10R,1,4452,松尾祭,香川,A2,5.64,5.92,0.55,34,0.21,13,0.05,3,0.16,3.1,0.21,5.0,0.13,8,0.05,3,0.17,10,2.6,-,,,,C,3,3,0.29,0.11
児島,10R,2,5199,垂水悠,徳島,B1,5.23,3.94,0.06,2,0.28,10,0.33,12,0.13,2.1,0.10,3.3,0.06,2,0.00,0,0.00,,3.2,S,,,,B,5,3,0.33,0.04
児島,10R,3,3997,北村征嗣,大阪,A1,6.52,6.88,0.19,11,0.19,11,0.36,21,0.16,3.2,0.17,5.3,0.05,3,0.07,4,0.10,6,2.6,C,,,,C,4,3,0.11,0.09
児島,10R,4,5039,倉田茂将,愛知,A2,4.70,4.75,0.15,8,0.15,8,0.13,7,0.15,2.5,0.13,3.0,0.03,2,0.08,5,0.02,1,2.8,-,F,,,D,3,2,0.41,0.07
児島,10R,5,5423,高橋嗣穏,徳島,B2,1.05,0.00,0.00,0,0.00,0,0.00,0,0.00,0.0,0.23,4.3,0.00,0,0.00,0,0.00,0,2.6,B+,F,,,D,2,2,0.00,0.00
児島,10R,6,5026,安河内健,佐賀,A1,6.19,7.05,0.03,2,0.13,8,0.18,11,0.17,3.3,0.17,4.0,0.00,0,0.00,0,0.02,1,3,C,F,,,A,6,4,0.18,0.14
児島,11R,1,3876,中辻崇人,福岡,A1,7.36,8.24,0.79,61,0.12,9,0.03,2,0.14,2.7,0.16,4.6,0.06,4,0.07,5,0.03,2,3.2,A,未消化FF,,,A,4,5,0.45,0.09
児島,11R,2,3629,浅見昌克,埼玉,A2,6.38,5.97,0.20,11,0.29,16,0.21,12,0.13,2.5,0.14,2.7,0.15,9,0.02,1,0.00,,3.2,C,,,,C,3,3,0.37,0.11
児島,11R,3,4550,石岡将太,群馬,B1,5.49,0.00,0.11,6,0.21,11,0.17,9,0.17,3.3,0.15,3.3,0.02,1,0.07,4,0.02,1,2.8,B+,,,,C,3,4,0.10,0.05
児島,11R,4,4042,丸岡正典,大阪,A2,6.20,5.82,0.12,6,0.25,13,0.27,14,0.17,3.4,0.15,2.6,0.00,0,0.10,5,0.04,2,2.8,C,,,,B,4,4,0.21,0.11
児島,11R,5,4210,松村康太,福井,A2,5.83,5.00,0.07,3,0.09,4,0.39,17,0.17,3.6,0.18,3.5,0.00,0,0.05,2,0.02,1,3,C,,,,C,3,3,0.15,0.09
児島,11R,6,4433,川野芽唯,福岡,A1,6.54,0.00,0.02,1,0.14,7,0.33,16,0.19,4.7,0.16,3.7,0.00,0,0.00,0,0.00,0,2.6,-,,,,B,4,4,0.05,0.47
児島,12R,1,3721,守田俊介,滋賀,A1,6.32,6.38,0.78,51,0.09,6,0.05,3,0.13,2.3,0.10,2.3,0.09,6,0.08,5,0.03,2,3.4,A,,,,B,5,3,0.51,0.06
児島,12R,2,3265,今村暢孝,福岡,A1,5.91,6.19,0.08,4,0.25,13,0.21,11,0.15,2.9,0.17,1.0,0.08,14,0.05,9,0.00,,2.6,C,F,,,C,3,3,0.24,0.04
児島,12R,3,3833,中辻博訓,福井,A1,6.02,6.75,0.16,8,0.28,14,0.22,11,0.14,2.2,0.10,2.0,0.02,1,0.00,0,0.11,5,3,C,,,,C,3,3,0.32,0.03
児島,12R,4,4259,真庭明志,長崎,A2,5.59,5.57,0.08,4,0.06,3,0.20,10,0.16,2.8,0.19,5.3,0.04,2,0.02,1,0.02,1,2.8,-,,,,B,4,4,0.19,0.00
児島,12R,5,4963,實森美祐,広島,A1,6.62,7.85,0.04,2,0.14,7,0.24,12,0.15,3.2,0.15,2.5,0.00,0,0.00,0,0.04,2,3.8,A,,,,B,4,4,0.24,0.10
児島,12R,6,5148,松本怜,福岡,B1,5.62,3.67,0.00,0,0.06,2,0.11,4,0.21,4.1,0.14,4.0,0.00,0,0.00,0,0.00,0,2.8,A,,,,A,5,4,0.14,0.29
丸亀,01R,1,4569,中澤宏奈,東京,B2,4.72,5.39,0.58,11,0.00,0,0.16,3,0.19,3.6,0.17,4.0,0.17,3,0.11,2,0.11,2,3.4,C,,0.28,0.28,C,4,3,0.18,0.36
丸亀,01R,2,5344,谷口丞,滋賀,B1,4.00,1.44,0.11,1,0.33,3,0.00,0,0.14,6.0,0.12,3.2,0.00,0,0.00,0,0.00,,3.4,B+,未消化F,,,B,4,4,0.00,1.00
丸亀,01R,3,3313,本吉正樹,東京,B1,4.39,3.44,0.09,4,0.11,5,0.07,3,0.19,3.5,0.15,2.7,0.05,2,0.00,0,0.05,2,3,-,,,,C,3,3,0.16,0.13
丸亀,01R,4,5124,上瀧絢也,佐賀,B2,4.00,4.12,0.03,1,0.06,2,0.16,5,0.18,3.6,0.14,3.1,0.00,0,0.03,1,0.00,0,3.2,-,,,,B,4,4,0.20,0.20
丸亀,01R,5,4423,坂口貴彦,岡山,B1,4.81,4.23,0.04,2,0.08,4,0.18,9,0.17,3.9,0.14,3.3,0.00,0,0.00,0,0.02,1,3.6,B+,,,,B,4,4,0.08,0.08
丸亀,01R,6,3889,須藤隆雄,群馬,B1,3.93,0.00,0.00,0,0.03,1,0.06,2,0.18,3.8,0.14,1.8,0.00,0,0.00,0,0.00,0,2.8,C,,,,C,3,4,0.19,0.19
丸亀,02R,1,3994,小野桜,滋賀,B1,5.42,7.18,0.35,17,0.23,11,0.06,3,0.19,3.8,0.16,4.1,0.13,6,0.31,15,0.10,5,3.8,C,,,,D,3,2,0.11,0.16
丸亀,02R,2,3710,吉永泰弘,香川,B1,4.58,4.38,0.06,3,0.28,13,0.13,6,0.16,3.2,0.14,3.3,0.04,2,0.02,1,0.00,,4,A,,,,C,3,3,0.17,0.11
丸亀,02R,3,5046,松山裕基,大阪,B1,4.21,3.07,0.05,2,0.16,7,0.28,12,0.15,2.9,0.16,3.6,0.03,1,0.00,0,0.00,0,2.2,C,未消化F,,,C,4,3,0.14,0.03
丸亀,02R,4,3680,森林太,長崎,B1,4.88,4.35,0.05,2,0.19,8,0.14,6,0.19,3.8,0.24,4.4,0.02,1,0.00,0,0.02,1,2.6,C,,,,D,2,2,0.06,0.21
丸亀,02R,5,5110,杉山喜一,静岡,B1,5.27,5.24,0.04,2,0.06,3,0.20,11,0.16,2.6,0.12,2.5,0.00,0,0.00,0,0.04,2,2.4,-,,,,C,4,3,0.30,0.02
丸亀,02R,6,4059,入澤友治,東京,A2,5.23,0.00,0.04,2,0.09,4,0.17,8,0.16,3.4,0.13,3.3,0.00,0,0.02,1,0.02,1,3,C,,,,C,3,3,0.24,0.21
丸亀,03R,1,4007,榮田将彦,山口,B1,4.43,5.10,0.42,11,0.15,4,0.19,5,0.14,3.1,0.13,2.7,0.15,4,0.23,6,0.04,1,2.8,C,,,,C,3,3,0.29,0.04
丸亀,03R,2,4947,間庭菜摘,福岡,B1,4.68,0.00,0.09,5,0.25,14,0.27,15,0.20,4.8,0.14,3.0,0.04,2,0.02,1,0.00,,3,C,,,,B,4,4,0.00,0.40
丸亀,03R,3,5340,樋江井舞,愛知,B1,3.73,1.62,0.00,0,0.22,5,0.13,3,0.16,3.3,0.13,2.0,0.00,0,0.00,0,0.00,0,3.4,A,,,,C,3,3,0.13,0.00
丸亀,03R,4,5178,成貞琳平,愛知,B1,4.24,0.00,0.00,0,0.07,3,0.15,7,0.20,4.2,0.22,4.1,0.00,0,0.00,0,0.00,0,3,-,,,,C,3,3,0.00,0.28
丸亀,03R,5,4331,三好勇人,香川,A2,5.51,6.01,0.02,1,0.07,3,0.17,8,0.16,3.2,0.16,3.4,0.02,1,0.00,0,0.02,1,2.8,B+,,,,C,3,4,0.20,0.03
丸亀,03R,6,3631,田添康介,長崎,B1,3.16,4.74,0.04,1,0.08,2,0.08,2,0.16,3.1,0.16,3.1,0.00,0,0.00,0,0.00,0,2.8,B+,L,,,C,3,3,0.24,0.10
丸亀,04R,1,3975,小野寺智洋,香川,B1,6.00,5.43,0.42,19,0.29,13,0.11,5,0.13,2.5,0.12,2.5,0.22,10,0.11,5,0.18,8,3.4,B+,,,,B,4,4,0.35,0.05
丸亀,04R,2,4897,深見亜由美,愛知,B2,3.68,1.60,0.05,1,0.19,4,0.29,6,0.20,3.8,0.19,4.2,0.00,0,0.05,1,0.00,,4,C,,,,D,2,3,0.18,0.27
丸亀,04R,3,4553,坪口竜也,長崎,A2,6.29,5.58,0.03,1,0.39,15,0.37,14,0.15,3.3,0.14,2.7,0.00,0,0.00,0,0.05,2,3,C,,,,B,5,3,0.10,0.07
丸亀,04R,4,4693,松下誉士,福岡,B1,4.24,3.57,0.00,0,0.11,6,0.15,8,0.18,3.8,0.16,4.1,0.00,0,0.00,0,0.00,0,2.2,C,,,,D,3,2,0.08,0.13
丸亀,04R,5,5198,奥村明日香,福岡,B1,4.86,4.09,0.00,0,0.02,1,0.24,11,0.18,4.1,0.17,4.3,0.00,0,0.00,0,0.00,0,4.8,A+,,,,A,5,5,0.07,0.26
丸亀,04R,6,4233,亀山雅幸,群馬,A2,5.96,5.33,0.00,0,0.10,5,0.25,13,0.21,4.7,0.14,3.6,0.00,0,0.00,0,0.00,0,4.8,A,,,,A,4,6,0.09,0.41
丸亀,05R,1,3463,乙津康志,東京,B1,4.98,3.70,0.18,7,0.30,12,0.13,5,0.20,4.3,0.16,4.2,0.27,11,0.27,11,0.20,8,3.2,B+,,,,C,4,3,0.13,0.44
丸亀,05R,2,3826,村田修次,東京,A2,6.06,5.23,0.07,3,0.31,13,0.24,10,0.13,2.8,0.14,2.8,0.03,1,0.03,1,0.00,,4,A+,F,,,C,4,3,0.21,0.06
丸亀,05R,3,5344,谷口丞,滋賀,B1,4.00,1.44,0.08,2,0.08,2,0.13,3,0.17,3.3,0.12,3.2,0.04,1,0.00,0,0.00,0,3.4,B+,未消化F,,,B,4,4,0.14,0.14
丸亀,05R,4,4423,坂口貴彦,岡山,B1,4.81,4.23,0.16,8,0.14,7,0.20,10,0.17,3.6,0.14,3.3,0.02,1,0.08,4,0.10,5,3.6,B+,,,,B,4,4,0.16,0.18
丸亀,05R,5,4072,森永淳,佐賀,A1,6.94,5.48,0.07,3,0.35,16,0.09,4,0.15,3.1,0.10,2.4,0.00,0,0.02,1,0.02,1,2.2,C,,,,C,3,3,0.19,0.02
丸亀,05R,6,5369,岡崎凪汰,長崎,B1,3.68,0.00,0.01,1,0.01,1,0.04,3,0.18,3.8,0.14,2.5,0.00,0,0.00,0,0.01,1,2.8,A+,未消化F,,,C,2,4,0.19,0.26
丸亀,06R,1,4058,野末智一,静岡,A2,6.24,5.95,0.50,28,0.21,12,0.14,8,0.19,3.8,0.16,3.7,0.19,11,0.10,6,0.16,9,3.4,B+,,,,C,4,3,0.19,0.26
丸亀,06R,2,5124,上瀧絢也,佐賀,B2,4.00,4.12,0.00,0,0.19,6,0.16,5,0.18,3.0,0.14,3.1,0.00,0,0.00,0,0.00,,3.2,-,,,,B,4,4,0.25,0.05
丸亀,06R,3,3623,深川真二,佐賀,A1,7.51,6.33,0.46,17,0.27,10,0.11,4,0.13,2.1,0.13,3.1,0.05,2,0.15,6,0.15,6,3.8,B+,,,,B,4,4,0.53,0.06
丸亀,06R,4,3313,本吉正樹,東京,B1,4.39,3.44,0.09,4,0.09,4,0.21,9,0.18,4.0,0.15,2.7,0.04,2,0.00,0,0.04,2,3,-,,,,C,3,3,0.05,0.16
丸亀,06R,5,4572,渡部悟,大阪,A2,4.90,6.22,0.00,0,0.14,5,0.28,10,0.17,3.6,0.13,2.2,0.00,0,0.00,0,0.00,0,2.6,C,F,,,B,5,3,0.10,0.03
丸亀,06R,6,3994,小野桜,滋賀,B1,5.42,7.18,0.00,0,0.05,2,0.15,6,0.18,3.8,0.16,4.1,0.00,0,0.00,0,0.00,0,3.8,C,,,,D,3,2,0.17,0.23
丸亀,07R,1,4732,堀本和也,徳島,A1,6.28,7.14,0.69,49,0.17,12,0.01,1,0.12,2.0,0.11,1.4,0.04,3,0.09,6,0.13,9,2.2,C,,,,C,4,2,0.54,0.04
丸亀,07R,2,5178,成貞琳平,愛知,B1,4.24,0.00,0.06,3,0.23,12,0.19,10,0.18,3.9,0.22,4.1,0.04,2,0.00,0,0.00,,3,-,,,,C,3,3,0.06,0.24
丸亀,07R,3,4947,間庭菜摘,福岡,B1,4.68,0.00,0.07,4,0.12,7,0.19,11,0.18,3.7,0.14,3.0,0.00,0,0.06,3,0.02,1,3,C,,,,B,4,4,0.05,0.18
丸亀,07R,4,5046,松山裕基,大阪,B1,4.21,3.07,0.02,1,0.14,6,0.14,6,0.17,3.1,0.16,3.6,0.00,0,0.00,0,0.00,0,2.2,C,未消化F,,,C,4,3,0.25,0.11
丸亀,07R,5,4063,市橋卓士,徳島,A1,6.49,6.98,0.04,2,0.13,7,0.35,19,0.14,2.8,0.14,2.8,0.00,0,0.00,0,0.04,2,3,-,,,,C,3,3,0.23,0.05
丸亀,07R,6,3710,吉永泰弘,香川,B1,4.58,4.38,0.00,0,0.05,2,0.21,8,0.21,4.7,0.14,3.3,0.00,0,0.00,0,0.00,0,4,A,,,,C,3,3,0.12,0.42
丸亀,08R,1,4535,北山康介,東京,A1,6.30,7.27,0.72,38,0.15,8,0.06,3,0.15,2.7,0.14,3.2,0.08,4,0.15,8,0.04,2,3.2,C,,,,B,4,4,0.27,0.02
丸亀,08R,2,4059,入澤友治,東京,A2,5.23,0.00,0.14,7,0.36,18,0.22,11,0.15,3.1,0.13,3.3,0.08,4,0.04,2,0.00,,3,C,,,,C,3,3,0.21,0.18
丸亀,08R,3,4693,松下誉士,福岡,B1,4.24,3.57,0.06,3,0.15,8,0.17,9,0.19,3.7,0.16,4.1,0.00,0,0.04,2,0.00,0,2.2,C,,,,D,3,2,0.05,0.14
丸亀,08R,4,4263,武重雄介,山口,A2,4.94,5.83,0.02,1,0.24,12,0.24,12,0.16,2.9,0.18,4.2,0.00,0,0.04,2,0.02,1,2.8,-,,,,D,2,3,0.23,0.02
丸亀,08R,5,4897,深見亜由美,愛知,B2,3.68,1.60,0.05,1,0.10,2,0.20,4,0.19,3.1,0.19,4.2,0.00,0,0.05,1,0.00,0,4,C,,,,D,2,3,0.18,0.09
丸亀,08R,6,4007,榮田将彦,山口,B1,4.43,5.10,0.06,2,0.03,1,0.03,1,0.14,2.8,0.13,2.7,0.00,0,0.00,0,0.00,0,2.8,C,,,,C,3,3,0.46,0.17
丸亀,09R,1,4233,亀山雅幸,群馬,A2,5.96,5.33,0.55,34,0.21,13,0.16,10,0.17,2.8,0.14,3.6,0.11,7,0.13,8,0.16,10,4.8,A,,,,A,4,6,0.27,0.04
丸亀,09R,2,5110,杉山喜一,静岡,B1,5.27,5.24,0.16,9,0.13,7,0.25,14,0.17,3.5,0.12,2.5,0.08,4,0.04,2,0.00,,2.4,-,,,,C,4,3,0.12,0.12
丸亀,09R,3,4072,森永淳,佐賀,A1,6.94,5.48,0.22,10,0.27,12,0.20,9,0.14,2.7,0.10,2.4,0.05,2,0.17,7,0.07,3,2.2,C,,,,C,3,3,0.21,0.05
丸亀,09R,4,5174,川井萌,静岡,B2,5.71,5.11,0.03,1,0.27,9,0.21,7,0.16,3.3,0.19,5.1,0.00,0,0.00,0,0.00,0,2.6,-,未消化F,,,C,4,3,0.25,0.17
丸亀,09R,5,4240,今井裕梨,群馬,A2,5.95,5.86,0.02,1,0.13,6,0.29,13,0.17,3.2,0.16,3.3,0.00,0,0.02,1,0.00,0,3.4,C,F,,,B,4,4,0.14,0.03
丸亀,09R,6,3975,小野寺智洋,香川,B1,6.00,5.43,0.00,0,0.12,5,0.14,6,0.17,3.7,0.12,2.5,0.00,0,0.00,0,0.00,0,3.4,B+,,,,B,4,4,0.21,0.28
丸亀,10R,1,4331,三好勇人,香川,A2,5.51,6.01,0.68,32,0.15,7,0.11,5,0.15,2.4,0.16,3.4,0.02,1,0.15,7,0.11,5,2.8,B+,,,,C,3,4,0.49,0.00
丸亀,10R,2,5198,奥村明日香,福岡,B1,4.86,4.09,0.13,6,0.17,8,0.17,8,0.22,3.9,0.17,4.3,0.04,2,0.07,3,0.00,,4.8,A+,,,,A,5,5,0.06,0.14
丸亀,10R,3,3826,村田修次,東京,A2,6.06,5.23,0.14,6,0.30,13,0.30,13,0.16,2.9,0.14,2.8,0.00,0,0.04,2,0.07,3,4,A+,F,,,C,4,3,0.14,0.03
丸亀,10R,4,4572,渡部悟,大阪,A2,4.90,6.22,0.03,1,0.18,6,0.18,6,0.13,2.6,0.13,2.2,0.00,0,0.00,0,0.03,1,2.6,C,F,,,B,5,3,0.30,0.04
丸亀,10R,5,4732,堀本和也,徳島,A1,6.28,7.14,0.02,1,0.24,14,0.24,14,0.12,2.4,0.11,1.4,0.00,0,0.00,0,0.00,0,2.2,C,,,,C,4,2,0.36,0.04
丸亀,10R,6,4569,中澤宏奈,東京,B2,4.72,5.39,0.00,0,0.00,0,0.00,0,0.19,4.0,0.17,4.0,0.00,0,0.00,0,0.00,0,3.4,C,,,,C,4,3,0.00,0.10
丸亀,11R,1,4063,市橋卓士,徳島,A1,6.49,6.98,0.70,61,0.15,13,0.07,6,0.12,2.2,0.14,2.8,0.11,10,0.10,9,0.06,5,3,-,,,,C,3,3,0.50,0.04
丸亀,11R,2,3623,深川真二,佐賀,A1,7.51,6.33,0.14,8,0.33,19,0.16,9,0.15,2.9,0.13,3.1,0.14,27,0.05,10,0.00,,3.8,B+,,,,B,4,4,0.29,0.12
丸亀,11R,3,4058,野末智一,静岡,A2,6.24,5.95,0.15,9,0.27,17,0.21,13,0.20,3.7,0.16,3.7,0.03,2,0.07,4,0.05,3,3.4,B+,,,,C,4,3,0.07,0.11
丸亀,11R,4,4553,坪口竜也,長崎,A2,6.29,5.58,0.11,5,0.18,8,0.27,12,0.15,4.0,0.14,2.7,0.00,0,0.02,1,0.04,2,3,C,,,,B,5,3,0.03,0.14
丸亀,11R,5,3463,乙津康志,東京,B1,4.98,3.70,0.02,1,0.04,2,0.19,9,0.22,4.7,0.16,4.2,0.00,0,0.00,0,0.02,1,3.2,B+,,,,C,4,3,0.05,0.38
丸亀,11R,6,4535,北山康介,東京,A1,6.30,7.27,0.07,3,0.27,12,0.16,7,0.14,2.4,0.14,3.2,0.00,0,0.02,1,0.02,1,3.2,C,,,,B,4,4,0.44,0.06
丸亀,12R,1,3744,徳増秀樹,静岡,A1,6.45,0.00,0.80,69,0.09,8,0.00,0,0.14,2.7,0.13,2.5,0.02,2,0.05,4,0.10,8,3.8,B+,,0.36,0.26,S,5,6,0.38,0.04
丸亀,12R,2,4598,加藤政彦,東京,A1,4.89,4.88,0.20,11,0.31,17,0.22,12,0.14,2.7,0.14,3.1,0.13,7,0.04,2,0.00,,4.8,S,F,,,A,5,4,0.22,0.04
丸亀,12R,3,4630,岩永雅人,愛知,A2,5.42,5.51,0.21,11,0.23,12,0.17,9,0.17,3.5,0.15,3.3,0.06,3,0.06,3,0.12,6,3.8,A,F,,,A,5,4,0.13,0.11
丸亀,12R,4,4388,是澤孝宏,滋賀,A2,6.04,6.77,0.06,3,0.34,17,0.18,9,0.17,3.2,0.14,3.3,0.00,0,0.04,2,0.00,0,3.8,C,,,,B,4,4,0.20,0.12
丸亀,12R,5,4518,大須賀友,愛知,A2,7.08,5.66,0.17,7,0.19,8,0.17,7,0.17,3.9,0.13,3.5,0.00,0,0.06,3,0.06,3,4.4,C,未消化F,,,A,5,4,0.15,0.21
丸亀,12R,6,4789,古賀智之,福岡,A2,5.59,5.29,0.00,0,0.09,3,0.11,4,0.19,4.2,0.12,2.7,0.00,0,0.00,0,0.00,0,3.6,C,,,,C,4,3,0.18,0.36
鳴門,01R,1,4608,荒井翔伍,東京,A2,6.05,5.81,0.53,31,0.24,14,0.10,6,0.13,2.1,0.15,4.1,0.05,3,0.16,9,0.27,15,3,C,,,,B,5,3,0.52,0.05
鳴門,01R,2,3544,豊田訓靖,静岡,B2,3.46,0.00,0.00,0,0.00,0,0.09,2,0.23,4.9,0.17,3.2,0.00,0,0.00,0,0.00,,2.3,-,,,,C,3,3,0.00,0.50
鳴門,01R,3,3681,山谷央,東京,B1,4.93,2.86,0.02,1,0.18,8,0.22,10,0.17,3.1,0.21,5.5,0.00,0,0.00,0,0.03,1,2.5,-,,,,D,3,2,0.18,0.06
鳴門,01R,4,4112,大久保信一郎,佐賀,B1,6.05,5.86,0.12,5,0.21,9,0.31,13,0.18,3.6,0.15,2.6,0.05,2,0.02,1,0.05,2,3.8,-,,,,C,4,3,0.09,0.16
鳴門,01R,5,5328,井上慧人,福岡,B1,4.23,1.47,0.00,0,0.11,6,0.07,4,0.19,4.1,0.19,4.7,0.00,0,0.00,0,0.00,0,2.5,C,F,,,C,3,3,0.07,0.19
鳴門,01R,6,3653,品川賢次,群馬,B1,4.51,5.00,0.00,0,0.03,1,0.07,2,0.21,4.7,0.21,3.2,0.00,0,0.00,0,0.00,0,2.5,-,,,,C,3,4,0.04,0.42
鳴門,02R,1,4393,田中孝明,福岡,B1,4.39,4.13,0.34,11,0.13,4,0.31,10,0.16,2.4,0.16,3.2,0.16,5,0.19,6,0.19,6,3,S,,,,C,3,3,0.42,0.00
鳴門,02R,2,4515,藤田浩人,佐賀,A2,6.22,7.09,0.15,9,0.35,21,0.25,15,0.17,3.7,0.17,4.0,0.05,3,0.04,2,0.00,,2.8,-,,,,B,4,4,0.07,0.05
