レース場,レース回,枠番,登録番号,選手名,支部,級別,全国勝率,当地勝率,1着率,1着数,2着率,2着数,3着率,3着数,コース平均st,コース平均st順位,今節平均st,今節平均st順位,差し率,差し数,まくり率,まくり数,まくり差し率,まくり差し数,M指数,activepoint,FL,1-2率,1-3率,M総合評価,出足,伸び足,コースstトップ率,コースst最下位率
福岡,12R,1,4503,上野真之介,佐賀,A1,7.18,7.29,0.84,67,0.13,10,0.01,1,0.11,2.0,0.15,3.0,0.04,3,0.03,2,0.05,4,4,A+,,,,A,5,5,0.58,0.05
福岡,12R,2,4371,西山貴浩,福岡,A1,6.95,6.44,0.16,7,0.32,14,0.23,10,0.14,3.3,0.15,3.5,0.11,5,0.05,2,0.00,,3,C,,,,C,4,3,0.12,0.15
福岡,12R,3,5224,西岡顕心,香川,A1,7.09,6.00,0.10,5,0.37,18,0.31,15,0.14,2.9,0.15,3.2,0.00,0,0.04,2,0.08,4,5,A+,,,,S,5,6,0.18,0.07
福岡,12R,4,4543,重木輝彦,兵庫,A1,6.77,6.30,0.06,3,0.21,10,0.35,17,0.20,4.2,0.16,4.5,0.02,1,0.02,1,0.03,2,4,B+,,,,B,4,4,0.04,0.26
福岡,12R,5,5084,末永和也,佐賀,A1,7.18,7.82,0.12,5,0.20,8,0.17,7,0.14,3.0,0.14,3.2,0.03,1,0.00,0,0.08,3,4,C,,,,B,4,4,0.30,0.12
福岡,12R,6,4448,青木玄太,滋賀,A1,6.55,7.21,0.08,3,0.18,7,0.35,14,0.18,4.4,0.16,3.5,0.00,0,0.00,0,0.00,0,3,A+,,,,C,4,3,0.03,0.29
若松,01R,1,4861,田中宏樹,福岡,B1,5.74,4.96,0.55,23,0.17,7,0.05,2,0.16,3.3,-,-,0.24,9,0.03,1,0.13,5,2,-,,,,A,4,5,0.25,0.07
若松,01R,2,3054,北川幸典,広島,B1,4.93,7.18,0.15,5,0.29,10,0.12,4,0.16,3.2,-,-,0.09,3,0.03,1,0.00,,3,-,F,,,C,4,3,0.20,0.12
若松,01R,3,5287,滝沢織寧,埼玉,B1,3.41,5.20,0.00,0,0.07,3,0.19,8,0.15,2.8,-,-,0.00,0,0.00,0,0.00,0,5,A,F,,,B,4,4,0.24,0.06
若松,01R,4,4229,市川美宏,静岡,B1,3.64,3.69,0.00,0,0.00,0,0.20,7,0.19,4.1,-,-,0.00,0,0.00,0,0.00,0,3,A+,,,,C,3,3,0.00,0.12
若松,01R,5,5438,星田夢結,福岡,B2,1.30,0.00,0.00,0,0.00,0,0.06,1,0.02,0.0,-,-,0.00,0,0.00,0,0.00,0,2,-,,,,C,3,3,0.00,0.00
若松,01R,6,3505,山田竜一,東京,B1,5.71,5.12,0.04,2,0.04,2,0.11,5,0.15,3.2,-,-,0.02,1,0.00,0,0.00,0,3,-,,,,C,3,3,0.29,0.09
若松,02R,1,3508,久富政弘,佐賀,B1,5.53,5.20,0.54,25,0.20,9,0.09,4,0.17,3.5,-,-,0.20,9,0.11,5,0.05,2,2,-,,,,C,3,3,0.11,0.17
若松,02R,2,5061,中村駿平,愛知,B1,3.83,4.44,0.03,1,0.13,5,0.05,2,0.16,3.2,-,-,0.00,0,0.00,0,0.00,,4,-,,,,D,3,2,0.27,0.23
若松,02R,3,4181,花本夏樹,三重,B1,4.21,5.73,0.06,3,0.15,8,0.22,12,0.18,3.5,-,-,0.02,1,0.02,1,0.02,1,2,-,F,,,C,3,3,0.13,0.09
若松,02R,4,5389,恵良琴美,福岡,B2,2.40,0.00,0.06,1,0.00,0,0.11,2,0.22,3.0,-,-,0.09,1,0.00,0,0.00,0,5,C,F,,,C,3,3,0.00,0.00
若松,02R,5,4808,松尾拓,三重,A1,5.40,7.71,0.14,8,0.10,6,0.27,16,0.16,3.4,-,-,0.02,1,0.00,0,0.09,5,3,-,F,,,D,3,2,0.17,0.10
若松,02R,6,5234,塚越海斗,群馬,A2,6.73,4.54,0.02,1,0.06,3,0.29,14,0.17,4.2,-,-,0.02,1,0.00,0,0.00,0,4,C,,,,B,4,4,0.18,0.27
若松,03R,1,5006,久保原秀人,群馬,B1,3.57,5.17,0.29,8,0.21,6,0.07,2,0.17,3.1,-,-,0.11,3,0.26,7,0.26,7,2,-,,,,C,3,3,0.38,0.19
若松,03R,2,4677,片橋幸貴,滋賀,B2,6.61,6.71,0.28,12,0.28,12,0.16,7,0.16,3.1,-,-,0.13,5,0.08,3,0.00,,4,B+,,,,C,4,2,0.28,0.17
若松,03R,3,5028,原田才一郎,福岡,A1,6.29,6.91,0.21,12,0.16,9,0.20,11,0.17,3.6,-,-,0.00,0,0.13,8,0.10,6,4,-,F,,,C,4,3,0.08,0.02
若松,03R,4,4098,赤澤文香,岡山,B1,4.70,4.07,0.00,0,0.15,5,0.15,5,0.22,4.4,-,-,0.00,0,0.00,0,0.00,0,3,-,,,,C,3,3,0.00,0.28
若松,03R,5,5406,小畑楓夏,山口,B2,1.35,0.00,0.00,0,0.00,0,0.00,0,0.12,2.0,-,-,0.00,0,0.00,0,0.00,0,3,-,,,,D,2,3,0.00,0.00
若松,03R,6,3574,大神康司,福岡,A2,6.09,6.40,0.08,3,0.23,9,0.15,6,0.00,0.0,-,-,0.00,0,0.00,0,0.00,0,4,A+,,,,B,3,5,0.00,0.00
若松,04R,1,4731,間野兼礼,愛知,B1,5.26,4.36,0.47,17,0.17,6,0.08,3,0.16,2.9,-,-,0.06,2,0.22,7,0.16,5,3,-,F,,,C,3,3,0.19,0.07
若松,04R,2,4505,島田賢人,埼玉,A2,6.31,7.71,0.20,8,0.30,12,0.20,8,0.16,3.7,-,-,0.16,6,0.03,1,0.00,,3,C,F,,,D,3,2,0.22,0.25
若松,04R,3,4782,浜崎準也,岡山,B1,3.81,0.00,0.03,1,0.15,5,0.24,8,0.16,3.0,-,-,0.03,1,0.00,0,0.00,0,3,A,,,,C,3,3,0.24,0.10
若松,04R,4,5259,野田昇吾,埼玉,B1,3.00,0.00,0.00,0,0.08,3,0.11,4,0.18,3.3,-,-,0.00,0,0.00,0,0.00,0,3,A,,,,C,3,3,0.31,0.21
若松,04R,5,3956,横澤剛治,静岡,A1,6.20,6.75,0.11,5,0.19,9,0.15,7,0.16,3.4,-,-,0.02,1,0.04,2,0.04,2,6,-,L,,,C,3,3,0.14,0.07
若松,04R,6,3875,廣中良一,山口,B1,4.17,4.39,0.00,0,0.03,1,0.03,1,0.24,5.2,-,-,0.00,0,0.00,0,0.00,0,4,C,,,,B,4,4,0.00,0.56
若松,05R,1,4596,葛原大陽,徳島,A1,5.73,4.86,0.59,41,0.20,14,0.09,6,0.15,2.6,-,-,0.17,11,0.09,6,0.16,10,4,C,,,,B,4,4,0.44,0.07
若松,05R,2,4402,乙藤智史,福岡,A2,5.51,5.70,0.08,3,0.30,12,0.20,8,0.18,3.8,-,-,0.03,1,0.03,1,0.00,,4,C,,,,C,3,4,0.17,0.21
若松,05R,3,3998,冨成謙児,佐賀,B1,4.35,4.73,0.08,4,0.20,10,0.20,10,0.15,3.0,-,-,0.04,2,0.04,2,0.00,0,4,C,,,,C,3,4,0.25,0.05
若松,05R,4,4017,向井美鈴,山口,A2,5.31,5.28,0.08,4,0.15,7,0.13,6,0.18,3.2,-,-,0.04,2,0.00,0,0.04,2,4,-,,,,C,3,3,0.18,0.06
若松,05R,5,4564,山本景士郎,広島,B1,4.56,4.69,0.00,0,0.05,2,0.13,5,0.21,4.4,-,-,0.00,0,0.00,0,0.00,0,4,-,,,,C,4,3,0.06,0.23
若松,05R,6,5438,星田夢結,福岡,B2,1.30,0.00,0.00,0,0.00,0,0.00,0,0.22,4.6,-,-,0.00,0,0.00,0,0.00,0,2,-,,,,C,3,3,0.12,0.59
若松,06R,1,4654,篠田優也,兵庫,A2,6.03,6.89,0.65,36,0.16,9,0.07,4,0.14,2.7,-,-,0.11,6,0.13,7,0.09,5,5,A,,,,C,4,3,0.29,0.10
若松,06R,2,4861,田中宏樹,福岡,B1,5.74,4.96,0.16,9,0.20,11,0.20,11,0.18,4.0,-,-,0.07,3,0.05,2,0.00,,2,-,,,,A,4,5,0.03,0.18
若松,06R,3,4531,武富智亮,佐賀,A2,5.94,6.26,0.12,7,0.34,20,0.14,8,0.15,3.1,-,-,0.00,0,0.09,5,0.07,4,2,C,,,,A,4,5,0.11,0.00
若松,06R,4,5274,城間盛渚,福岡,B1,5.17,0.00,0.14,6,0.11,5,0.20,9,0.19,3.7,-,-,0.00,0,0.04,2,0.09,4,2,-,L,,,C,4,3,0.08,0.22
若松,06R,5,3645,淺田千亜希,徳島,B2,5.26,7.89,0.05,1,0.15,3,0.15,3,0.14,2.9,-,-,0.00,0,0.00,0,0.05,1,3,B+,,,,C,4,2,0.38,0.06
若松,06R,6,4575,戸塚邦好,東京,A1,5.90,0.00,0.08,3,0.15,6,0.26,10,0.17,3.6,-,-,0.00,0,0.00,0,0.03,1,5,A,F,,,C,4,3,0.06,0.19
若松,07R,1,4000,松本博昭,広島,A2,6.20,6.42,0.64,52,0.21,17,0.06,5,0.15,2.6,-,-,0.13,10,0.10,8,0.10,8,4,C,,,,C,3,3,0.32,0.03
若松,07R,2,4866,橋本英一,福岡,B1,4.24,4.02,0.10,4,0.21,8,0.10,4,0.15,3.4,-,-,0.08,3,0.03,1,0.00,,4,A,未消化F,,,C,4,3,0.07,0.13
若松,07R,3,3508,久富政弘,佐賀,B1,5.53,5.20,0.08,4,0.21,11,0.29,15,0.18,3.8,-,-,0.00,0,0.06,3,0.00,0,2,-,,,,C,3,3,0.10,0.20
若松,07R,4,3304,烏野賢太,徳島,A2,6.50,5.75,0.11,6,0.25,14,0.18,10,0.18,3.4,-,-,0.02,1,0.02,1,0.03,2,4,-,,,,C,4,3,0.13,0.09
